repository_url,repository_language,repository_watchers
https://github.com/tenderlove/mechanize,Ruby,1205
https://github.com/rubyist/aasm,Ruby,1089
https://github.com/cakephp/cakephp,PHP,3454
https://github.com/pivotal/jasmine,JavaScript,4289
https://github.com/collectiveidea/awesome_nested_set,Ruby,1015
https://github.com/arsduo/koala,Ruby,1693
https://github.com/needim/noty,JavaScript,2023
https://github.com/hbons/SparkleShare,C#,2213
https://github.com/srobbin/jquery-backstretch,JavaScript,1232
https://github.com/apenwarr/bup,Python,1698
https://github.com/engineyard/ey-cloud-recipes,Ruby,1022
https://github.com/kriswallsmith/assetic,PHP,1355
https://github.com/defunkt/facebox,JavaScript,1774
https://github.com/boctor/idev-recipes,Objective-C,1890
https://github.com/omz/AppSales-Mobile,Objective-C,1505
https://github.com/rubinius/rubinius,Ruby,1604
https://github.com/adobe/brackets,JavaScript,8385
https://github.com/nicolasgramlich/AndEngine,Java,1108
https://github.com/mojombo/jekyll,Ruby,8718
https://github.com/bbatsov/rails-style-guide,null,1511
https://github.com/olton/Metro-UI-CSS,PHP,1356
https://github.com/scrapy/scrapy,Python,1271
https://github.com/paulasmuth/fnordmetric,Ruby,2167
https://github.com/sitaramc/gitolite,Perl,3615
https://github.com/futuretap/InAppSettingsKit,Objective-C,1419
https://github.com/nesquena/rabl,Ruby,1838
https://github.com/octocat/Hello-World,null,1309
https://github.com/kennethreitz/legit,Python,1763
https://github.com/gimenete/iOS-boilerplate,Objective-C,2176
https://github.com/joyent/node,JavaScript,19390
https://github.com/celluloid/celluloid,Ruby,1396
https://github.com/moxiecode/plupload,JavaScript,1811
https://github.com/twitter/finagle,Scala,1396
https://github.com/defnull/bottle,Python,1526
https://github.com/KentBeck/junit,Java,1258
https://github.com/lipka/piecon,JavaScript,1741
https://github.com/jshint/jshint,JavaScript,1727
https://github.com/arshaw/fullcalendar,JavaScript,1620
https://github.com/github/gitignore,null,7749
https://github.com/substack/dnode,JavaScript,1197
https://github.com/cloudhead/vows,JavaScript,1060
https://github.com/benpickles/peity,JavaScript,1367
https://github.com/javan/whenever,Ruby,3070
https://github.com/thoughtbot/clearance,Ruby,1175
https://github.com/escoz/QuickDialog,Objective-C,1870
https://github.com/bestiejs/lodash,JavaScript,1703
https://github.com/TheRealKerni/HockeyKit,Objective-C,1219
https://github.com/SlexAxton/yepnope.js,JavaScript,1511
https://github.com/YOU-LOST/THE-GAME,null,5647
https://github.com/textmate/textmate,C++,7926
https://github.com/Bukkit/CraftBukkit,Java,1754
https://github.com/OpenKinect/libfreenect,C,1517
https://github.com/vitalets/x-editable,JavaScript,1406
https://github.com/bmatzelle/gow,Visual Basic,1413
https://github.com/jackmoore/colorbox,JavaScript,2030
https://github.com/scottjehl/Respond,JavaScript,3341
https://github.com/FortAwesome/Font-Awesome,JavaScript,9690
https://github.com/kr/beanstalkd,C,1082
https://github.com/square/PonyDebugger,Objective-C,1217
https://github.com/mozilla/BrowserQuest,JavaScript,3047
https://github.com/bbatsov/ruby-style-guide,Ruby,2366
https://github.com/javve/list,JavaScript,1678
https://github.com/JoelBesada/scrollpath,JavaScript,1583
https://github.com/scrod/nv,Objective-C,1103
https://github.com/philsturgeon/codeigniter-restserver,PHP,1073
https://github.com/apotonick/cells,Ruby,1275
https://github.com/mattt/TTTAttributedLabel,Objective-C,1037
https://github.com/SignalR/SignalR,C#,2510
https://github.com/myell0w/MTStatusBarOverlay,Objective-C,1253
https://github.com/puma/puma,Ruby,1309
https://github.com/liuliu/ccv,C,2193
https://github.com/wvanbergen/request-log-analyzer,Ruby,1229
